CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,SEXO_CANDIDATO,RUTA_CONSTANCIA,PARTIDO
,10,DURANGO,,,1,CANATLAN,,,PRES_MUN,PVEM_PT_MORENA_RSPD,,MA. DE LOS ÁNGELES ROJAS RIVERA,2,,PVEM
,10,DURANGO,,,1,CANATLAN,,,SIND,PVEM_PT_MORENA_RSPD,,JUAN ESTEBAN ZAMORA RAMÍREZ,1,,MORENA
,10,DURANGO,,,1,CANATLAN,,,REG_RP,PVEM_PT_MORENA_RSPD,,ANDRÉS VÁSQUEZ GURROLA,1,,PVEM
,10,DURANGO,,,1,CANATLAN,,,REG_RP,PVEM_PT_MORENA_RSPD,,ORLANDO LORENZO GARDEA HERNÁNDEZ,1,,PVEM
,10,DURANGO,,,1,CANATLAN,,,REG_RP,PVEM_PT_MORENA_RSPD,,CHEYENNE SIMONE AYALA AGUILAR,2,,PVEM
,10,DURANGO,,,1,CANATLAN,,,REG_RP,PAN_PRI_PRD,,MAGNOLIA GUADALUPE UNZUETA SANDOVAL,2,,PAN
,10,DURANGO,,,1,CANATLAN,,,REG_RP,PAN_PRI_PRD,,LUIS FELIPE ORTIZ NIEVES,1,,PAN
,10,DURANGO,,,1,CANATLAN,,,REG_RP,PAN_PRI_PRD,,JOSÉ GUADALUPE VALENZUELA ANDRADE,1,,PAN
,10,DURANGO,,,1,CANATLAN,,,REG_RP,PVEM_PT_MORENA_RSPD,,GLORIA IRENE SOTO VILLASEÑOR,2,,MORENA
,10,DURANGO,,,1,CANATLAN,,,REG_RP,PAN_PRI_PRD,,ANA MARÍA DUARTE ANDRADE,2,,PRI
,10,DURANGO,,,1,CANATLAN,,,REG_RP,MC,,YARELI ALEJANDRA ORTIZ MUÑOZ,2,,MC
