CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,SEXO_CANDIDATO,RUTA_CONSTANCIA,PARTIDO
3,23,QUINTANA ROO,,,,,,,GOB,PVEM_PT_MORENA_FXMQROO,1,MARA ELENA HERMELINDA LEZAMA ESPINOSA,2,,MORENA
3,23,QUINTANA ROO,1,KANTUNILKIN,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,JULIAN JAVIER RICALDE MAGAÑA,1,,FXMQROO
3,23,QUINTANA ROO,2,CANCUN,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,SUSANA HURTADO VALLEJO,2,,PVEM
3,23,QUINTANA ROO,3,CANCUN,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,HUGO ALDAY NIETO,1,,PT
3,23,QUINTANA ROO,4,CANCUN,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,CRISTINA DEL CARMEN ALCERRECA MANZANERO,2,,PVEM
3,23,QUINTANA ROO,5,CANCUN,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,MILDRED CONCEPCION AVILA VERA,2,,MORENA
3,23,QUINTANA ROO,6,CANCUN,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,ANDREA DEL ROSARIO GONZALEZ LORIA,2,,MORENA
3,23,QUINTANA ROO,7,CANCUN,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,MARIA FERNANDA CRUZ SANCHEZ,2,,MORENA
3,23,QUINTANA ROO,8,CANCUN,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,ISSAC JANIX ALANIS,1,,PT
3,23,QUINTANA ROO,9,TULUM,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,SILVIA DZUL SANCHEZ,2,,MORENA
3,23,QUINTANA ROO,10,PLAYA DEL CARMEN,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,ANGY ESTEFANIA MERCADO ASENCIO,2,,PVEM
3,23,QUINTANA ROO,11,COZUMEL,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,RENAN EDUARDO SANCHEZ TAJONAR,1,,PVEM
3,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,JOSE MARIA CHACON CHABLE,1,,MORENA
3,23,QUINTANA ROO,13,BACALAR,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,ALICIA TAPIA MONTEJO,2,,PT
3,23,QUINTANA ROO,14,CHETUMAL,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,ELDA MARIA XIX EUAN,2,,MORENA
3,23,QUINTANA ROO,15,CHETUMAL,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMQROO,1,OMAR ANTONIO RODRIGUEZ MARTINEZ,1,,MORENA
3,23,QUINTANA ROO,,,,,,,DIP_LOC_RP,PAN,1,CINTHYA YAMILIE MILLAN ESTRELLA,2,,PAN
3,23,QUINTANA ROO,,,,,,,DIP_LOC_RP,PRI,1,ELDA CANDELARIA AYUSO ACHACH,2,,PRI
3,23,QUINTANA ROO,,,,,,,DIP_LOC_RP,PVEM,1,YOHANET TEODULA TORRES MUÑOZ,2,,PVEM
3,23,QUINTANA ROO,,,,,,,DIP_LOC_RP,PVEM,3,MARIA JOSE OSORIO ROSAS,2,,PVEM
3,23,QUINTANA ROO,,,,,,,DIP_LOC_RP,PVEM,4,GUILLERMO ANDRES BRAHMS GONZALEZ,1,,PVEM
3,23,QUINTANA ROO,,,,,,,DIP_LOC_RP,MC,1,MARITZA DEYANIRA BASURTO BASURTO,2,,MC
3,23,QUINTANA ROO,,,,,,,DIP_LOC_RP,MORENA,1,FREYDA MARYBEL VILLEGAS CANCHE,2,,MORENA
3,23,QUINTANA ROO,,,,,,,DIP_LOC_RP,MORENA,2,LUIS HUMBERTO ALDANA NAVARRO,1,,MORENA
3,23,QUINTANA ROO,,,,,,,DIP_LOC_RP,MORENA,1,RICARDO VELAZCO RODRIGUEZ,1,,MORENA
3,23,QUINTANA ROO,,,,,,,DIP_LOC_RP,MAS,1,DIANA LAURA NAVA VERDEJO,2,,MAS
